text,classLabel
"1994/S_19940204.txt , Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. The action is expected to be associated with a small increase in short-term money market interest rates.,,,,",3
"1994/S_19940204.txt , The decision was taken to move toward a less accommodative stance in monetary policy in order to sustain and enhance the economic expansion.,,,,",2
"1994/S_19940204.txt ,"" Chairman Greenspan decided to announce this action immediately so as to avoid any misunderstanding of the Committee's purposes, given the fact that this is the first firming of reserve market conditions by the Committee since early 1989."",,,,",0
"1994/S_19940322.txt , Chairman Alan Greenspan announced today that the Federal Open Market Committee decided to increase slightly the degree of pressure on reserve positions. This action is expected to be associated with a small increase in short-term money market interest rates.,,,,",3
"1994/S_19940517.txt , The Federal Reserve today announced two actions designed to maintain favorable trends in inflation and thereby sustain the economic expansion.,,,,",2
"1994/S_19940517.txt ,"" The Board approved an increase in the discount rate from 3 percent to 3-1/2 percent, effective immediately, and the Federal Open Market Committee agreed that this increase should be allowed to show through completely into interest rates in reserve markets."",,,,",3
"1994/S_19940517.txt ,"" These actions, combined with the three adjustments initiated earlier this year by the FOMC, substantially remove the degree of monetary accommodation which prevailed throughout 1993. As always, the Federal Reserve will continue to monitor economic and financial developments to judge the appropriate stance of monetary policy."",,,,",2
"1994/S_19940517.txt ,"" In taking the discount action, the Board approved requests submitted by the Boards of Directors of eleven Federal Reserve Banks -- Boston, New York, Philadelphia, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City, Dallas and San Francisco. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Bank."",,,,",0
"1994/S_19940816.txt , The Federal Reserve announced today the following monetary policy actions:,,,,",0
"1994/S_19940816.txt ,"" The Board of Governors approved an increase in the discount rate from 3 1/2 percent to 4 percent, effective immediately."",,,,",3
"1994/S_19940816.txt , The Federal Open Market Committee agreed that this increase would be allowed to show through completely into interest rates in reserve markets.,,,,",3
"1994/S_19940816.txt ,"" These measures were taken against the background of evidence of continuing strength in the economic expansion and high levels of resource utilization. The actions are intended to keep inflationary pressures contained, and thereby foster sustainable economic growth."",,,,",2
"1994/S_19940816.txt ,"" The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy. But these actions are expected to be sufficient, at least for a time, to meet the objective of sustained, noninflationary growth."",,,,",1
"1994/S_19940816.txt ,"" In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Richmond, Kansas City, and Dallas. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve Banks."",,,,",0
"1994/S_19941115.txt ,"" The Federal Reserve Board today approved an increase in the discount rate from 4 percent to 4 3/4 percent, effective immediately."",,,,",3
"1994/S_19941115.txt ,"" In a related move, the Federal Open Market Committee decided that the increase in the discount rate should be reflected fully in interest rates in reserve markets."",,,,",3
"1994/S_19941115.txt ,"" These measures were taken against the background of evidence of persistent strength in economic activity and high and rising levels of resource utilization. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth."",,,,",2
"1994/S_19941115.txt ,"" In taking the discount rate action, the Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York, St. Louis, and Kansas City. The discount rate is the interest rate that is charged depository institutions when they borrow from their district Federal Reserve banks."",,,,",0
"1995/S_19950201.txt ,"" The Federal Reserve Board today approved an increase in the discount rate from 4 3/4 percent to 5 1/4 percent, effective immediately."",,,,",3
"1995/S_19950201.txt ,"" In a related move, the Federal Open Market Committee agreed that this increase should be reflected fully in interest rates in the reserve markets."",,,,",3
"1995/S_19950201.txt ,"" Despite tentative signs of some moderation in growth, economic activity has continued to advance at a substantial pace, while resource utilization has risen further. In these circumstances, the Federal Reserve views these actions as necessary to keep inflation contained, and thereby foster sustainable economic growth."",,,,",2
