text,sentiment
"moviemaking is a lot like being the general manager of an nfl team in the post-salary cap era -- you've got to know how to allocate your resources . 
every dollar spent on a free-agent defensive tackle is one less dollar than you can spend on linebackers or safeties or centers . 
in the nfl , this leads to teams like the detroit lions , who boast a superstar running back with a huge contract , but can only field five guys named herb to block for him . 
in the movies , you end up with films like "" spawn "" , with a huge special-effects budget but not enough money to hire any recognizable actors . 
jackie chan is the barry sanders of moviemaking . 
he spins and darts across the screen like sanders cutting back through the defensive line . 
watching jackie in operation condor as he drives his motorcycle through the crowded streets of madrid , fleeing an armada of pursuers in identical black compact cars , is reminiscent of sanders running for daylight with the chicago bears in hot pursuit , except that sanders doesn't have to worry about rescuing runaway baby carriages . 
but like the lions star , jackie doesn't have anybody to block for him . 
almost every cent that's invested in a jackie chan movie goes for stunts , and as chan does his own stunts , the rest of the money goes to pay his hospital bills . 
this leaves about 75 cents to pay for things like directors ( chan directs ) , scripts and dubbing and supporting characters , not to mention the hideous title sequence . 
this also explains why the movie was shot in odd places like morocco and spain . 
 ( chan's first release in this country , "" rumble in the bronx "" , was supposedly set in new york , but was filmed in vancouver , and in the chase scenes the canadian rockies are clearly visible . ) 
heck , jackie doesn't even have enough money for a haircut , looks like , much less a personal hairstylist . 
in condor , chan plays the same character he's always played , himself , a mixture of bruce lee and tim allen , a master of both kung-fu and slapstick-fu . 
jackie is sent by the un to retrieve a cache of lost nazi gold in the north african desert , and is chased by a horde of neo-nazi sympathizers and two stereotypical arabs ( one of the things i like about jackie chan movies : no political correctness ) . 
he is joined by three women , who have little to do except scream , "" jackie , save us ! "" , and misuse firearms . 
the villain is an old nazi whose legs were broken in the secret base so that he has to be carried everywhere , and he's more pathetic than evil . 
en route , we have an extended motorcycle chase scene , a hilarious fight in the moroccan version of motel 6 with the neo-nazis , and two confrontations with savage natives . 
once at the secret desert base , there is a long chop-socky sequence , followed by the film's centerpiece , a wind-tunnel fight that's even better than the one in face/off . 
this is where the money was spent , on well-choreographed kung-fu sequences , on giant kevlar hamster balls , on smashed-up crates of bananas , and on scorpions . 
ignore the gaping holes in the plot ( how , exactly , if the villain's legs were broken , did he escape from the secret nazi base , and why didn't he take the key with him ? ) . 
don't worry about the production values , or what , exactly , the japanese girl was doing hitchhiking across the sahara . 
just go see the movie . 
operation condor has pretentions of being a "" raiders of the lost ark "" knockoff , but one wonders what jackie could do with the raiders franchise blocking for him -- with a lawrence kazdan screenplay , a john williams score , spielberg directing and george lucas producing , condor might be an a+ movie . 
however , you've got to go with what you've got , and what you've got in jackie chan is something special -- a talent that mainstream hollywood should , could , and ought to utilize . 
",pos
"jay and silent bob strike back , kevin smith's swan song to his two most famous characters , is the best received comedy that i've seen since there's something about mary , which is a tea party in comparison to the foul-mouthed humor in jay and silent bob strike back . 
the audience didn't just laugh ; they went wild with boisterous laughter and heavy applause throughout . 
in short , if you like really raunchy humor , you may find it , as i did , to be the funniest movie of the year . 
 ( on the other hand , if you are one of those who walked out in disgust with smith's dogma , then jay and silent bob strike back is not the movie for you . ) 
in one of the fastest paced movies of the year , the story has jay and silent bob ( jason mewes and kevin smith ) , a pair of card carrying drug dealers , traveling from their new jersey convenience store home to hollywood so that they can stop a movie . 
it seems their comic book alter egos , bluntman and chronic , are being used in a movie without jay and silent bob's consent . 
jason biggs and james van der beek are slated to star in it . 
jay and silent bob strike back has more and better used cameos than just about any movie that i've ever seen . 
among others , they include carrie fisher as a bible-toting nun , mark hamill as a comic book version of his famous alter ego and gus van sant as a director too busy counting his money to yell , "" action ! "" 
best of all are ben affleck and matt damon who mock themselves and their movies . 
the film stops several times to make fun of itself and of the audience who was "" stupid "" enough to buy tickets to this movie . 
 ( actually , purchasing tickets to this film is extremely smart given that it delivers more laughter per dollar than anything in recent memory . ) 
the film even skewers people who write about movies on the internet . 
guilty . 
although it's filled with inside jokes , you'll still be laughing even if you only get some of them . 
it's easy to understand enough so that they are still funny . 
jay is a motor mouth who hasn't met a subject that he couldn't vulgarize . 
his favorite topic is oral sex , but , being an equal opportunity profaner , he's willing to make crude jokes about absolutely anything . 
but it is his buddy , the aptly named silent bob , who is responsible for most of the movie's success . 
his reaction shots , with his wildly exaggerated eye movements , are comedic gems . 
the story's main subplot concerns four animal rights activists , justice ( shannon elizabeth ) and her three sexy buddies , sissy ( eliza dushku ) , missy ( jennifer schwalbach smith ) and chrissy ( ali larter ) . 
these charlie's angels types give a ride to our heroes on their trek to lalaland to stop the picture . 
jay tries to put the moves on justice , but he doesn't stay in command of the situation for long . 
one of the funnier sight gags has the women using a pink , clam-shaped , birth control case that contains high tech gadgetry . 
granted , it's not the movie for everyone , but , if you like kevin smith's brand of humor , you'll find that this is his best . 
and , as i said earlier , it's the funniest movie of the year thus far . 
no , wait . 
forget , `thus far . ' 
it's bound to be the funniest movie of the year . 
in a time when almost every movie feels obligated to come in at pg-13 so that they can rake in the maximum cash , it's great to see a filmmaker with the guts to target only a mature audience . 
jay and silent bob strike back runs a lightening fast 1 : 35 . 
it is rated r and contains pervasive crude humor and language and sexual situations . 
it would be acceptable for high school seniors and older . 
the film opens nationwide in the united states on wednesday , august 22 , 2001 . 
in the silicon valley , it will be showing at the amc and the century theaters . 
",pos
"metro i've seen san francisco in movies many times . 
there was 1994's interview with the vampire and most recently the rock . 
now , yet again , san francisco is the setting for this movie . 
eddie murphy stars as inspector scott roper of the sfpd . he is their top hostage negotiator , and the very best at what he does . 
when his best friend on the force is killed by joe ( michael wincott , in a terrific performance ) , a psychotic , demented jewel thief , roger makes it his mission to capture the guy before he strikes again . 
meanwhile , roper tries to rekindle a relationship with his british ex-girlfriend veronica , while helping to rear a new up and comer from swat who's an expert sniper and marksman ( michael rappaport ) . 
despite the obligatory cop movie scenes ( does every cop/new partner movie have to start the same way ? ) 
where the sgt . 
assigns roper a partner , roper confronts the sarge , etc . , this film is still one heck of an explosive ride . 
a scene involving a cable car has to be seen to be believed , and boasts some amazing car stunts . 
eddie murphy shines in this tailor-made role , and for once , his character shows depth and concern . 
when confronting joe in prison , you can feel the anger drip from every word . 
michael rappaport is basically throwaway . 
he serves no purpose , except to be buddy to murphy and get disabled in the final reel so that eddie can save the day . 
typical action escapist fare . 
michael wincott offers the best performance as the crazed killer and jewel thief joe . 
never before have i seen such a villian written like this where i could actually believe that he was serious and take him seriously . 
maybe i just thought that this role was different due to wincott's perfectly raspy voice . 
i don't know . 
what i do know , though , is that although metro is basically a typical action retread , it manages to cover new ground and shed new light on tired old cliches' . 
the film is a triumph , and an entertaining one at that . 
it doesn't meander or trail off from its main character . 
an enjoyable two hours , metro is enjoyable , witty , action-packed , and fun , and makes for a great action movie that's perfect for all of us that need an escape from reality . 
",pos
"when people are talking about good old times , they actually want to make some bad times look better . 
nice example of such behaviour is contemporary attitude of popular media towards the 1970s . 
for new generations , superseventies are the lost golden age of chic fashion , cult tv shows and sexual freedom unchecked by aids . 
for people who actually had to live in that period , it was the gloomy decade , marked by lost ideals of 1968 , rampant inflation and unemployment , international terrorism , fuel crisis and loss of faith in almost anything that previous generation stood for . 
feelings of despair and nihilism found its reflections in many films of that era . 
martin scorsese's taxi driver , which symbolises both the glory and despair of the seventies , is most celebrated of them all . 
the movie's protagonist is travis bickle ( robert de niro ) , 26-year old former marine who takes the job of taxi driver in new york city because he can't sleep at nights . 
the job gets him exposed to the dark side of apocalyptic megalopolis , and travis gradually gets alienated from the rest of world . 
the only bright spot in his life is betsy ( cybil sheperd ) , attractive woman working in senator palantine's presidential campaign . 
their date ends as humiliating fiasco because travis makes fatal mistake by inviting her to porno movie theatre . 
losing his only link to better side of the world , travis gradually descends into psychosis , becoming convinced that his mission in life is to battle scum on the street . 
he purchases a formidable arsenal of guns and begins physical preparations for the inevitable conflict . 
that conflict finally comes when he takes personal interest in iris ( jodie foster ) , 12-year old prostitute who temporarily took refuge in his taxi . 
as many great movies that got cult status through the years , taxi driver became the object of many interpretations . 
for some critics and scholars it is an exploration of universal subjects that date back to dostoyevski - loss of moral compass in a bleak reality of dirty , overpopulated industrial cities ; the story could have been set in 19th century same as in our times . 
for others , the movie uses raskolnikov-like figure in order to portray burning problems of 1970s america - its apparent inability to deal with the consequences of rapid social changes that occurred in previous decade . 
brilliant performance of robert de niro in role of a lifetime can give arguments for both sides . 
his travis bickle has a lot in common with most of the average viewers of today - many of us share his feelings of isolation , loneliness and outrage towards crime , drugs , prostitution and senseless street violence . 
his pathetic attempts to establish some kind of human connection with the people around him , sometimes in most unusual circumstances - like with secret service agents , pimps or job interviewers - make him a person too goofy to be the hero , and too pathetic to be the classic villain . 
however , most of the average viewers are sensible enough to recognise the tin line that separate concerned citizens or troubled souls from fanatical madmen . 
but despite anything , average viewer at the end actually cheers for travis - his crusade against "" scum "" is something that average person wants , but doesn't have a stomach/lack of brains to do it . 
while de niro's travis might come in and out of particular times and places , other persons that appear in the film ( mostly played by the character actors ) give it distinctively 1970s feel . 
wizzard ( played by peter boyle ) presents the only link with america's better past ; but only because he is the oldest taxi driver in company and therefore everybody assumes that he "" knows stuff "" . 
his obvious inadequacy in giving advice to troubled travis illustrates the inability of pre-1960s generations to find answers to the problems of gloomy decade . 
other characters , on the other hand , show the bad side of new age . 
matthew "" sport "" ( keitel , who befriended real-life pimps in other to prepare for his role of a lifetime ) is dressed like a hippie ; iris found excuse for her escape to the world of drugs and child prostitution in a ideology of counterculture . 
porno movies , that should be the element of new times of sexual freedom , are too much even for supposedly "" liberated "" betsy . 
even the politicians , like senator palantine , are lost in post-vietnam and post-watergate mess ; his broad and senseless "" messages "" that cover the lack of any serious program can't fool even such idiots like travis . 
the past is gone , the present is bad , and even the future seems bleak , and the feeling of pessimism can't be washed away even by ironic happy end . 
travis and his world found themselves in a desperate situation , and martin scorsese uses the best of his cinematic skills in order to spill the gloom of schrader's screenplay into the silver screen . 
new york city in the night is portrayed as a hell on earth , and the red light and steam coming out of sewers give it surreal , almost stygian atmosphere . 
another important element of the atmosphere is score of great bernard herrman , whose efficient use of jazz elements gives some melancholy that softens the brutality of motion picture . 
one of the greatest ironies of taxi driver is the fact that the movie was , same as his protagonist , famous for the wrong reason . 
instead of receiving cult status because of his artistic merits , for many years it was tabloid-fodder because of hinckley and his real-life re-enactment of events in the movie . 
now , more than two decades later , when some other "" life imitating art "" incidents get more attention , we can finally enjoy taxi driver in all its artistic glory . 
",pos
"50's `aliens vs . 
earth' idea revamped ! 
if you have been following the movie news over the net , you could not have escaped the hype over id4 . 
it promises to be the summer film of the year and it has all the elements necessary . 
id4 opened in the us on 2nd of july , and up till now , only after a week of release , it has nearly touched the us$100 million mark , a phenomenon last observed when jurassic park was released back in 1993 . 
the premise of the movie is disgustingly simple : earth defends itself against the aliens , a typical and highly popular 50's hollywood theme which manifested itself in many films produced in that era . 
the movie opens via star wars , however unoriginal it may be , it worked . 
the aliens have sent a large mother ship ( supposedly to be 1/4 size of the moon ) to attack earth by deploying attack ships 15 miles in radius to all the major cities on earth . 
the us president ( pullman ) does not know of the aliens' intention but soon finds out when david ( goldblum ) a scientist , discovers that the aliens are counting down to a synchronised attack on all the major cities . 
capt . hiller ( smith ) , a hot-shot f-18 pilot are one of the hundreds assigned to take out the hovering alien attack ship over washington dc . 
his squadron came under heavy alien fire after discovering that their weapons were useless against the invaders , he crash lands after a spectacular 1-on-1 chase over the grand canyon , one of the many highlights of the movie . 
id4 features many characters and we are shown the impact on them as the story progresses . 
acting on the whole was ok although i thought that bill pullman was a bit unsuitable for the president role but he did make a very rousing speech before sending his troops into battle ( do we smell a bit of braveheart here ? ? ) . 
no prizes for guessing how id4 ends , its just plain obvious . 
id4 borrows heavily from star wars , return of the jedi , alien and in some parts of the movie , i could even sense a bit of x-files on screen . 
if i were to critically review this movie , id4 is full of plot holes , corny dialogue , and ridiculously dumb aliens . 
however below that wafer-thin plot and on-screen flaws , id4 scored well in playing with the appealing idea of the entire world giving up their petty differences to unite themselves as one force against the alien invasion . 
an idea which will have the audience strongly rooting for the united front throughout the movie , thus maintaining a screen-viewer interaction that virtually render any holes in the movie acceptable , no matter how ridiculous . 
id4 was produced under a modest budget of us$68 million , a film of such magnitude would have easily been another waterworld but director roland emmerich ( universal soldier , stargate ) and producer dean devlin assembled a team which did their own special effects rather than commissioning it to ilm or any other special effects company . 
some of the effects are not too good but most of it are very believable , especially the epic standoff between 150 f-18's and 250 alien saucers , reminiscence of the classic space battle featured in return of the jedi . 
id4 is a movie for all . 
though there are many explosions and implied deaths , there are no gory scenes of human destruction , thus young kids should be able to take it . 
sit back and don't be too critical , chances are you will be absorbed into the movie just as i was . 
if you are not planning to watch any movies this year , please , at least make time for this one . 
this film is best watched on the big-screen . 
",pos
"a lot of times a three-star film will be my favorite . 
they're usually the kind of movie i can watch most often too . 
they're usually not too deep , allowing for semi-brainless relaxation , and at the same time , not too dumb . 
men in black is a four-star three-star film . 
 ( hope you could follow that one ) 
men in black doesn't wait to get to the fun . 
just minutes into the film we are introduced to agent kay ( tommy lee jones ) , introduced to an alien , and introduced to the the awesome memory-diminishing tool that all mib agents use . 
after all , you can't have alien witnesses running around with that kind of knowledge can you ? 
men in black is , of course , the organization which "" moniters all extra-terrestrial activity on earth "" . 
nypd officer james edwards ( will smith ) , is on a routine foot chase when suddenly the no-good punk he's chasing starts leaping up buildings and blinking more than one pair of eyes . 
the alien delivers the simple message that the world is going to end , and with that , dives off of a roof . 
naturally nobody believes his story . 
 . 
 . 
nobody that is , except for the top secret organization that not even the government is aware of . 
edwards then meets agent kay , the man who never seems to crack a smile , and is introduced to the mib . 
edwards winds up joining the team and is stripped of anything that can point back to him ( birth certificate , drivers license , and even the literal removal of his fingerprints ) . 
james edwards no longer exists . 
meet agent jay . 
agent kay takes the rookie jay under his wing as they go about "" regular "" duties . 
eventually a far more treacherous event comes into play . 
a "" bug "" has landed on earth and is going to wipe out mankind if these two don't ( or can't ) stop it . 
the plot isn't exactly clear , but we know it has to do with a galaxy as big as a jewel or marble being sought after on earth , and that is crucial that the mib find it before the "" bug "" does . 
barry sonnenfeld , who also did the addams family films , directs this nicely . 
it's fun , it's funny , it's action-packed . 
a nice summer blockbuster as it rightfully turned out to be . 
this is one of those movies that is just "" fun "" and can't really be summed up any nicer or clearer . 
will smith and tommy lee jones both do great jobs and both are a blast to watch . 
definitely one of the best films of the the summer of '97 , men in black comes highly recommeded from me ! 
",pos
"upon arriving at the theater during the opening credits , i took my seat and prepared myself for what appeared to be "" hellraiser meets the crow "" . 
but as soon as kiefer sutherland began speaking the narrative monologue , describing "" the strangers "" and their reasons for contacting human beings , i was hooked . 
there was something especially compelling about the nature of his voice . 
i knew from the start that i was going to witness the actions of his character rather than the actor attempting the character . 
sutherland played the role as a true veteran . 
upon the completion of his monologue , the camera arrives on sutherland in such a fashion that you can only wonder how long alex proyas spent on cinematography . 
i would imagine , for a film of this caliber , that maximum hours of work were spent where they were needed the most . 
the film flowed beautifully . 
as i was being taken through the intricate regions of the "" dark city "" , a clever plot began to unravel , to the point where the last time i had seen such clever plot twists were in "" the usual suspects "" . 
not to mention a series of special effects that would make james cameron literally turn green with envy . 
but if you're not exactly the biggest sci-fi fan , caveat emptor . 
get ready for the atmostpheric darkness of "" 12 monkeys "" or "" the crow "" without the boredom or depression . 
the concept of the plot is as mindstretching as "" 12 monkeys "" was , however , so be prepared and be sophisticated . 
and imagine a picture that finally does justice to the comic-book-gone-feature-film fad that hollywood has recently become abusive of . 
dark city simply puts "" spawn "" to shame . 
in fact , during the climax of the film i couldn't help but feel the strong presence of an "" akira "" -esque explosion throughout the general feeling of the movie . 
so my initial predictions were wrong . 
this film is anything but the meloncholy of "" hellraiser "" parts one through five . 
i'm never one to base a film entirly on special effects , so know that when i give dark city 
it's actually because the film contained all of the neccessary ingredients to keep me entertained and awake from storyline to plot twists to camerawork to even ( tsk , tsk ) special effects . 
not since contact have i recieved such deep insight into the way the human mind operates and never this year have i been so blown away . 
the best film i've seen all year , and easily one of the best i've ever seen 
",pos
"this is the best british gangster film since the long good friday . 
jon bennet ( played by andrew howard ) is an extremely good assassin . 
as such he is probably an evil man but it does not worry him . 
he has become an unquestioning weapon . 
he is in the employ of a kingpin ( david calder ) far more evil than he is . 
but even assassins have innocent pasts . 
he runs into an old from school days and he is married to a mutual girl friend from school . 
complicating matters is that they live near where he had a recent job and their young daughter may have seen him at the crime . 
a big piece of what makes this film work is the depiction of the kingpin . 
calder is a familiar actor in britain , though not frequently seen in the us . 
he was seen in the world is not enough . 
here he creates one of the best screen villains in recent years . 
he is at once seductive and repellent like a beautiful venomous snake . 
his lair is underground , apparently in a sewer , where he lives like the king of sewer rats . 
it is the kingpin who pulls the strings that will control bennet's life . 
paul sarossy who directs spent most of his career as a cinematographer and like the kingpin's lair , he has molded images of class and style out of the darkness . 
by using semi-darkness and letting the colors of deep blue and black dominate every scene he makes the film visually as ominous as anything in this nether world . 
this is a world that is cold and unfriendly . 
sorossy creates a world of violence much more by what we hear than what we see . 
this is a film with a great deal of physical violence occurring just out of reach . 
we see very little but we hear a great deal more and we imagine more than that . 
the screenplay is by peter waddington based on the novel by neil cross , but it is sarossy's film all the way . 
it creates indelible images of evil . 
i rate it an 8 on the 0 to 10 scale and a low +3 on the -4 to +4 scale . 
 ( i do hope they do not use the tagline "" don't mess with mr . in-between . "" ) 
",pos
" "" crazy/beautiful "" suffers from the damned-if-you-do , damned-if-you-don't syndrome . 
after a spate of flighty , cookie-cutter teen films , the romantic drama addresses alcoholism and parental loss along with its love story . 
but rather than applaud the production , early reviews have dismissed it as an overblown "" afterschool special . "" 
even worse , in the wake of federal trade commission hearings that blasted the industry for marketing violent and sexual movies to young people , the studio got a case of the heebie-jeebies and forced director john stockwell to re-shoot scenes and cut footage to "" tone things down . "" 
needless to say , the filmmaker was frustrated . 
 "" we were trying to make a cautionary tale , "" he told newsweek , "" and we couldn't show the behavior we were trying to caution people away from . "" 
regardless , the film works , thanks to exceptional performances from its lead players and a script determined to transcend stereotypes . 
 "" crazy/beautiful "" is quality fare , good enough that i half-expected the summer movie crap police to walk into the press screening and confiscate the print for "" failure to incorporate explosions and poop jokes . "" 
set in pacific palisades , calif . , the story follows the burgeoning relationship between two teens . 
every morning and evening , carlos nunez ( jay hernandez ) takes a two-hour bus ride in order to attend pacific high school . 
an honor student and star athlete , carlos is responsible , modest and focused as he works on securing a place in the naval academy . 
all is well until he meets nicole oakley ( kirsten dunst ) , the daughter of a rich congressman ( bruce davison ) . 
nicole is a drunk apparently hell-bent on self-destruction . 
carlos is smart enough to recognize the danger in getting involved with her , but he is only human and she has the greatest smile . 
plus , as her father notes , she has a real knack for drawing others into her downward spiral . 
as with "" save the last dance , "" "" crazy/beautiful "" ( god , how i hate lower-case titles ) takes situations that look stale on paper and makes them seem fresh . 
while noting the racial and social differences between the kids , the screenplay dances around most of the clich ? s ( there are still several mtv moments , though ) . 
the filmmakers make a point to give characters that crucial extra bit of shading that turns them into individuals instead of stereotypes and the actors take it from there . 
cute-as-a-button dunst forces the viewer to share the pain beneath nicole's behavior . 
she is credible enough that when dad urges carlos to get away from her before she drags him down , i hoped the boy would listen . 
as carlos , hernandez is a revelation . 
hunky without looking like the product of a hollywood design team , the young man can really act ; we will see a lot of this guy in the future . 
aside from its title , the biggest problem with "" crazy/beautiful "" is its ending , which wraps everything up too fast and too tidy . 
after carefully presenting credible characters and situations , the conclusion feels rushed and lazy . 
still , this is the kind of film that deserves accolades from critics instead of cheap shots . 
 "" afterschool special "" my ass ? "" crazy/beautiful "" is the real deal . 
",pos
"the film starts out with a creepy opening sequence to which has the now classic and creepy score by writer/director/producer john carpenter who in my mind is a brilliant director , he really is . 
he wrote this film , he directed this film , he produced this film and he made the excessively creepy score to this film . 
i think he is and always will be famous for this classic which after 21 years has not lost it's popularity or it's ability to scare the wits out of people . 
i think i have seen 'halloween' over 100 times and each time i find something new and brilliant , and each time i am scared even though i know what is going to happen . 
i own three different versions of the film : a vhs regular version that came with a limited edition 20th anniversary t-shirt , a boxed edition vhs in a hardcover case digitally re-mastered with the original theatrical widescreen presentation , in a nifty plastic picture decorated box with a numbered snow-globe . 
in other words i am completely and utterly obsessed with the film . 
it has changed horror movies forever and spawned six sequels with only 2 , 4 , and 7 being truly good . 
it also spawned several cheap imitations of the film that were offensive in some ways to a true halloween fan . 
since i heard about halloween being released on dvd in a limited edition of 30 , 000 copies , i knew i had to buy one no matter what ! 
i did and man to me it's the best dvd ever manufactured with the brilliance of the film . 
no words can describe the dvd . 
in 'halloween' michael myers is a evil person whom killed his sister in cold blood 16 years ago in 1963 . 
now in 1978 grown up and in a mental hospital michael myers escapes to go back to his hometown of haddonfield , illinois , followed by his past doctor sam loomis . 
the person michael is targeting is laurie strode who is played by jamie lee curtis in her film debut . 
why is he stalking her ? 
check out halloween ii it explains it all . 
on this unholy night on october 31 , 1978 laurie strode and her two friends are going to have the time of their lives , which is trying to stay alive . 
the whole film is filled with terrifying moments most coming from just seeing michael myers walk . 
nick castle who played the shape in the first movie did an incredible job , and no other person in any other halloween flick can do what he did . 
what john carpenter did in 1978 is made a ground-breaking new film , with scares , wit , and style . 
the movie is flawless if not perfect . 
no other movie or sequel has lived up to this one , and in my opinion never will . 
'halloween' will be like 'psycho' and still be extremely popular even almost 40 years later . 
i just hope someday 'halloween' will be released in a new dolby soundtrack with the 4 extra scenes on the dvd edition . 
'halloween' isn't just another slice-and-dice horror flick , it's an intelligent , horrifying and best film experience ever made . 
see 'halloween' and be scared . . . . then 
watch it again ! 
reviewed by brandon herring october 7 , 1999 . 
",pos
